sentence,cultural_context,csi_category,csi_hall_mapping,hall_level
"When her parents divorced <CSI> after 20 years of marriage </CSI>, she reflected on how divorce has become more common in Britain over the past few decades.","The cumulative percentage of marriages ending in divorce has risen in Britain, with divorces occurring even after 20 years of marriage, reflecting relaxed religious beliefs and laws over the past 50 years.",Social Tradition,Structure,Invisible
They hired lawyers to review <CSI> terms and conditions </CSI> before finalizing the deal.,Legal review of terms demonstrates American business reliance on legal protections.,Workplace Culture,Structure,Invisible
Americans prefer <CSI> clear communication </CSI> over ambiguous messaging in professional settings.,Clear communication maximizes efficiency and understanding in American workplace interactions.,Social Etiquette,Communication,Invisible
"While walking through London, she noticed that British police officers did <CSI> not carry guns </CSI>, relying instead on communication and <CSI> community trust </CSI> to maintain order.",The unarmed police force reflects the UK’s emphasis on community policing and de-escalation.,Cultural Value,Action,Invisible
He <CSI> notified the host </CSI> when running late to manage expectations.,Notifying hosts about delays shows respect for British hosting efforts and planning.,Social Etiquette,Appropriacy,Semi-visible
"When I receive an invitation, I always check if there’s a <CSI> dress code or theme </CSI> before attending.","In Western culture, adhering to dress codes is seen as respectful, but in other cultures, such expectations might be less formalized.",Social Tradition,Customs,Semi-visible
The <CSI> May Day celebration </CSI> in her village welcomes Spring by <CSI> dancing around a maypole </CSI> and flower crowns.,May Day marks the arrival of spring and is celebrated with festive traditions across Europe.,Social Tradition,Rituals,Semi-visible
"During a debate, her friend criticized U.S. foreign policy for its <CSI> hypocrisy </CSI>, pointing out how it promotes democracy while backing authoritarian regimes.",Criticism of U.S. foreign policy often highlights perceived contradictions between its ideals and actions on the global stage.,Cultural Value,Power,Invisible
They're having <CSI> pancakes and syrup </CSI> for a classic American breakfast.,Pancakes with syrup represent a quintessential American breakfast tradition.,Social Tradition,Food and Drink,Visible
She was elected <CSI> class president </CSI> by her peers in student government.,Class president elections teach democratic processes in American school systems.,Social Tradition,Customs,Semi-visible
The child was taught to always say <CSI> 'please' </CSI> while asking from a young age.,Teaching children to use 'please' and 'thank you' is a fundamental aspect of British upbringing.,Social Etiquette,Customs,Semi-visible
The town celebrates <CSI> Bastille Day </CSI> with parades and public festivities.,Bastille Day commemorates French history through community celebrations and national pride.,Social Tradition,Rituals,Semi-visible
"She’s always saying <CSI> 'please' </CSI> and <CSI> 'thank you' </CSI>,it’s a British habit.",Saying 'please' and 'thank you' frequently reflects the emphasis on politeness in British culture.,Social Etiquette,Customs,Semi-visible
He's been <CSI> burning the midnight oil </CSI> to meet the deadline this week.,Burning the midnight oil means working late into the night and reflects American work dedication.,Workplace Culture,Action,Invisible
"She <CSI> avoided offering help </CSI> in a way that might make her friend feel like a <CSI> burden </CSI>, as indirect charity can sometimes be misinterpreted in the U.S.","Americans prefer to offer help in ways that empower others rather than making them feel dependent, reflecting a cultural emphasis on self-reliance.",Social Etiquette,Action,Invisible
"As a child, he loved reading about <CSI> Greek gods </CSI> and Norse heroes, fascinated by their adventures and struggles.","European mythology is rich with tales of Greek gods, Norse heroes, and magical creatures, exploring universal themes like bravery and love.",Cultural Reference,Art,Visible
"The <CSI> county fair </CSI> starts next Friday, I can't wait for the pie competition!",County fairs feature competitions and contests celebrating local agriculture and baking traditions.,Social Tradition,Rituals,Semi-visible
She’s a <CSI> foodie </CSI> who loves trying new restaurants.,A foodie refers to someone with a keen interest in food and dining.,Cultural Reference,Food and Drink,Visible
He’s a <CSI> workaholic </CSI> who never takes a day off.,"A workaholic is someone excessively dedicated to their job, reflecting American work culture values.",Workplace Culture,Action,Invisible
"Following up on the meeting, she documented all <CSI> agreed-upon points </CSI> in writing, knowing that this is essential in Western business culture to finalize commitments.",Documenting agreed-upon points and summarising and confirming agreements in writing is a standard practice in Western business culture to ensure clarity and accountability.,Workplace Culture,Structure,Invisible
He always <CSI> makes eye contact </CSI> during conversations as it shows respect in Western culture.,Making eye contact during conversation is considered a sign of honesty and respect in British culture.,Social Etiquette,Customs,Semi-visible
The company scheduled a <CSI> team-building retreat </CSI> to improve office relationships.,Team-building retreats are a common Western corporate practice aimed at strengthening workplace bonds and collaboration.,Workplace Culture,Workplace Norms,Semi-visible
"She often relates life's challenges to memorable quotes from <CSI> Shakespeare </CSI>, drawing on deep-rooted British literature.",Shakespeare's works remain influential in Western literature and are often cited to illustrate life's complexities.,Cultural Reference,Art,Visible
The neighbors are having a <CSI> book club </CSI> meeting at their house tomorrow.,Book clubs are social gatherings where people discuss literature in Western culture.,Social Tradition,Customs,Semi-visible
They’re planning a <CSI> road trip </CSI> along the Pacific Coast Highway.,"Road trips, such as along the Pacific Coast Highway, embody American travel culture.",Cultural Reference,Institutions,Visible
